origin_region,destination_region,origin,destination,value
North America-o,North America-d,United States-o,Canada-d,4573
Africa-o,North America-d,Burundi-o,Canada-d,2074
Africa-o,North America-d,Côte d'Ivoire-o,United States-d,1574
Africa-o,North America-d,Cameroon-o,Canada-d,1103
Africa-o,North America-d,Cameroon-o,United States-d,4530
Africa-o,North America-d,Democratic Republic of the Congo-o,Canada-d,3316
Africa-o,North America-d,Egypt-o,United States-d,10852
Africa-o,North America-d,Eritrea-o,Canada-d,1811
Africa-o,North America-d,Eritrea-o,United States-d,4085
Africa-o,North America-d,Ethiopia-o,Canada-d,2047
Africa-o,North America-d,Ethiopia-o,United States-d,10566
Africa-o,North America-d,Kenya-o,United States-d,2258
Africa-o,North America-d,Mali-o,United States-d,1239
Africa-o,North America-d,Mauritania-o,United States-d,1174
Africa-o,North America-d,Nigeria-o,Canada-d,4502
Africa-o,North America-d,Other Africa-o,United States-d,6843
Africa-o,North America-d,Rwanda-o,Canada-d,1620
Africa-o,North America-d,Rwanda-o,United States-d,1048
Africa-o,North America-d,Sudan-o,United States-d,1362
Africa-o,North America-d,Somalia-o,Canada-d,2531
Africa-o,North America-d,Somalia-o,United States-d,2313
Africa-o,North America-d,Uganda-o,United States-d,1231
Africa-o,North America-d,Zimbabwe-o,Canada-d,2368
Africa-o,North America-d,Zimbabwe-o,United States-d,1316
Africa-o,Africa-d,Burundi-o,Democratic Republic of the Congo-d,23163
Africa-o,Africa-d,Burundi-o,Mozambique-d,1119
Africa-o,Africa-d,Burundi-o,Other Africa-d,4410
Africa-o,Africa-d,Burundi-o,Rwanda-d,70848
Africa-o,Africa-d,Burundi-o,Tanzania-d,155755
Africa-o,Africa-d,Burundi-o,Uganda-d,26256
Africa-o,Africa-d,Burundi-o,South Africa-d,3819
Africa-o,Africa-d,Central African Republic-o,Cameroon-d,267463
Africa-o,Africa-d,Central African Republic-o,Democratic Republic of the Congo-d,107929
Africa-o,Africa-d,Central African Republic-o,Other Africa-d,23664
Africa-o,Africa-d,Central African Republic-o,Sudan-d,1439
Africa-o,Africa-d,Central African Republic-o,South Sudan-d,1882
Africa-o,Africa-d,Central African Republic-o,Chad-d,63397
Africa-o,Africa-d,Côte d'Ivoire-o,Other Africa-d,56032
Africa-o,Africa-d,Democratic Republic of the Congo-o,Burundi-d,53029
Africa-o,Africa-d,Democratic Republic of the Congo-o,Central African Republic-d,4798
Africa-o,Africa-d,Democratic Republic of the Congo-o,Kenya-d,12046
Africa-o,Africa-d,Democratic Republic of the Congo-o,Mozambique-d,3415
Africa-o,Africa-d,Democratic Republic of the Congo-o,Other Africa-d,51178
Africa-o,Africa-d,Democratic Republic of the Congo-o,Rwanda-d,73864
Africa-o,Africa-d,Democratic Republic of the Congo-o,South Sudan-d,15916
Africa-o,Africa-d,Democratic Republic of the Congo-o,Tanzania-d,55803
Africa-o,Africa-d,Democratic Republic of the Congo-o,Uganda-d,201782
Africa-o,Africa-d,Democratic Republic of the Congo-o,South Africa-d,32582
Africa-o,Africa-d,Democratic Republic of the Congo-o,Zimbabwe-d,5414
Africa-o,Africa-d,Eritrea-o,Egypt-d,1405
Africa-o,Africa-d,Eritrea-o,Ethiopia-d,155231
Africa-o,Africa-d,Eritrea-o,Kenya-d,1229
Africa-o,Africa-d,Eritrea-o,Sudan-d,98676
Africa-o,Africa-d,Eritrea-o,Uganda-d,3401
Africa-o,Africa-d,Eritrea-o,South Africa-d,2338
Africa-o,Africa-d,Western Sahara-o,Algeria-d,90000
Africa-o,Africa-d,Western Sahara-o,Mauritania-d,26007
Africa-o,Africa-d,Ethiopia-o,Egypt-d,1085
Africa-o,Africa-d,Ethiopia-o,Kenya-d,21229
Africa-o,Africa-d,Ethiopia-o,Sudan-d,3194
Africa-o,Africa-d,Ethiopia-o,Somalia-d,2756
Africa-o,Africa-d,Ethiopia-o,South Sudan-d,4200
Africa-o,Africa-d,Ethiopia-o,Uganda-d,1495
Africa-o,Africa-d,Ethiopia-o,South Africa-d,20324
Africa-o,Africa-d,Kenya-o,Ethiopia-d,3193
Africa-o,Africa-d,Mali-o,Burkina Faso-d,33574
Africa-o,Africa-d,Mali-o,Mauritania-d,50233
Africa-o,Africa-d,Mali-o,Niger-d,56012
